Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired
Mahou no Princess Minky Momo Hitomi no Seiza  Minky Momo Song Special,"['Magic', 'Music', 'Shoujo']",Music,"['Yomiko Advertising', 'Ashi Production']",,5.86,68.0,11808.0,231.0,1.0,Unknown,"Jan 21, 1987"
M3 Sono Kuroki Hagane,"['Action', 'Sci-Fi', 'Mystery', 'Psychological', 'Drama', 'Mecha']",TV,"['Sotsu', 'Magic Capsule', 'flying DOG', 'C2C', 'Happinet Pictures', 'Bandai Namco Games', 'Mobcast']",['Satelight'],6.69,13288.0,1932.0,44741.0,24.0,Original,"Apr 22, 2014 to Sep 30, 2014"
PriPara,"['Music', 'Slice of Life', 'School', 'Shoujo']",TV,['TV Tokyo'],"['Tatsunoko Production', 'Dongwoo A&amp;E']",7.62,1602.0,3809.0,11111.0,140.0,Game,"Jul 5, 2014 to Mar 28, 2017"
Girls  Panzer Heartful Tank Disc Picture Drama,"['Military', 'School']",Special,['Lantis'],['Actas'],6.7,695.0,6289.0,3366.0,4.0,Original,"Sep 25, 2013"
47 Todoufuken R,"['Comedy', 'Kids']",TV,"['Nippon Television Network', 'DandeLion Animation Studio LLC']",,5.77,30.0,12265.0,190.0,12.0,Unknown,"Jan 11, 2014 to Mar 29, 2014"
Hayate no Gotoku OVA,"['Romance', 'Comedy', 'Harem', 'Parody', 'Shounen']",OVA,,['Manglobe'],7.23,3123.0,4425.0,8006.0,3.0,Manga,"Jun 18, 2014 to Dec 16, 2014"
Kaze no Invitation,"['Magic', 'Music']",Music,,['Studio Pierrot'],5.31,170.0,11473.0,325.0,1.0,Original,1999
Piano TV Specials,"['Slice of Life', 'Romance', 'Music', 'Drama', 'Shoujo']",Special,,['OLM'],5.56,84.0,11225.0,323.0,4.0,Unknown,"Jan 24, 2003 to Apr 25, 2003"
Kyoukai no Rinne,"['Comedy', 'Supernatural']",Special,,,6.26,1217.0,6019.0,3979.0,1.0,Unknown,"Oct 3, 2009"
Otogi Banashi Bunbuku Chagama,['Kids'],Movie,,,5.92,13.0,13472.0,127.0,1.0,Other,"Oct 10, 1917"
Durararax2 Shou,"['Action', 'Mystery', 'Supernatural']",TV,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'ASCII Media Works']",['Shuka'],8.11,133887.0,305.0,260977.0,12.0,Light novel,"Jan 10, 2015 to Mar 28, 2015"
Sengoku Basara Judge End,"['Action', 'Super Power', 'Martial Arts', 'Samurai', 'Historical']",TV,"['VAP', 'Nippon Television Network']",['Telecom Animation Film'],6.94,6794.0,3109.0,18365.0,12.0,Game,"Jul 6, 2014 to Sep 28, 2014"
Sora no Method,"['Slice of Life', 'Drama', 'Fantasy', 'School']",TV,"['Bandai Visual', 'Sotsu', 'Lantis', 'Showgate', 'Good Smile Company', 'Infinite']",['Studio 3Hz'],6.79,20517.0,1427.0,61851.0,13.0,Original,"Oct 5, 2014 to Dec 28, 2014"
Kantoku Fuyuki Todoki,"['Comedy', 'Josei', 'Slice of Life']",TV,,['DLE'],5.92,1776.0,5507.0,4913.0,13.0,Manga,"Apr 4, 2014 to Jul 4, 2014"
Yuru Yuri Nachuyachumi,"['Comedy', 'Shoujo Ai', 'Slice of Life']",OVA,['Pony Canyon'],['TYO Animations'],7.95,22308.0,1863.0,40747.0,1.0,Manga,"Feb 18, 2015"
Mikakunin de Shinkoukei Kamoniku tte Midorippoi Aji ga Suru no ne,"['Slice of Life', 'Comedy', 'Romance', 'Seinen']",OVA,"['DAX Production', 'TOHO animation', 'Ichijinsha']",['Doga Kobo'],7.19,16030.0,2371.0,28400.0,1.0,4-koma manga,"Mar 28, 2014"
Meshimase Lodosstou Senki Sorette Oishii no,['Comedy'],TV,"['Kadokawa Shoten', 'DAX Production']","['Studio Deen', 'Studio Hibari']",5.71,185.0,8136.0,1569.0,13.0,Unknown,"Apr 6, 2014 to Jun 29, 2014"
Shinmai Maou no Testament,"['Action', 'Harem', 'Demons', 'Romance', 'Ecchi', 'Fantasy']",TV,"['Kadokawa Shoten', 'AT-X', 'Nippon Columbia', 'Kadokawa Pictures Japan', 'KlockWorx', 'Mobcast']",['Production IMS'],7.07,146182.0,251.0,274123.0,12.0,Light novel,"Jan 8, 2015 to Mar 26, 2015"
Chuunibyou demo Koi ga Shitai Ren Specials,['Comedy'],Special,,['Kyoto Animation'],7.17,13647.0,2248.0,29540.0,7.0,Light novel,"Mar 19, 2014 to Sep 17, 2014"
Oshaburi Announcer,['Hentai'],OVA,['T-Rex'],,6.87,1171.0,6501.0,2857.0,1.0,Visual novel,"May 23, 2014"
Uchuu Senkan Yamato 2199 Hoshimeguru Hakobune,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama']",Movie,"['Production I.G', 'Bandai Visual', 'OLM', 'AIC', 'Lantis', 'Shochiku', 'Bandai', 'Tohokushinsha Film Corporation', 'Bandai Namco Games', 'Voyager Entertainment']",['Xebec'],7.91,2930.0,4406.0,7673.0,1.0,Original,"Dec 6, 2014"
Gugure Kokkurisan,"['Comedy', 'Shounen', 'Supernatural']",TV,"['TV Tokyo', 'Frontier Works', 'Media Factory', 'Nihon Ad Systems', 'Sony Music Communications']",['TMS Entertainment'],7.66,50354.0,850.0,114510.0,12.0,4-koma manga,"Oct 6, 2014 to Dec 22, 2014"
